,SMILES,False positives,True positives,FP - filter,TP - filter,Score - filter
123,CC(C)CCc1c(O)nc(SCC(=O)N2CCCCCC2)[nH]c1=O,1.0,0.0,0.0,1.0,0.0
124,CC(C)CN=C(NS(=O)(=O)c1ccccc1)C(Cl)(Cl)Cl,-0.0,1.0,1.0,0.0,1.0
125,CC(C)CNC(=O)C1CCN(Cc2ccc(OCc3ccccc3)cc2)CC1,1.0,0.0,0.0,1.0,0.0
126,CC(C)CNS(=O)(=O)c1ccc(CCC(=O)N2CCOCC2)cc1,1.0,0.0,0.0,1.0,0.0
127,CC(C)C[C@@H](CC#N)N1CCN(Cc2ccccc2)CCC1=O,1.0,0.0,0.0,1.0,0.0
128,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)O,1.0,0.0,0.0,1.0,0.0
129,CC(C)Cc1ccc(C#N)c(SCC(N)=O)n1,1.0,0.0,0.0,1.0,0.0
130,CC(C)Cn1c(N2CCN(C(=O)/C=C/c3ccccc3)CC2)nc2ccccc21,1.0,0.0,0.0,0.0,0.0
131,CC(C)N1C(=O)CN(C2CCCCCC2)C(=O)C1c1ccccc1F,-0.0,1.0,0.0,1.0,0.0
132,CC(C)N1CCC(N2CCN(C3CCCC3)CC2CCO)CC1,1.0,0.0,0.0,1.0,0.0
133,CC(C)NC(=O)N(O)C1N(Cc2ccc3c(c2)OCO3)C(=S)SC1(C)C,1.0,0.0,0.0,1.0,0.0
134,CC(C)NS(=O)(=O)c1ccc(OCC(=O)N2CCCC2)c(Cl)c1,1.0,0.0,0.0,1.0,0.0
135,CC(C)Nc1nnc(Sc2ccc(Cl)cc2[N+](=O)[O-])s1,1.0,0.0,0.0,0.0,0.0
136,CC(C)OC(=O)Cn1c(=O)oc2ccccc21,1.0,0.0,0.0,1.0,0.0
137,CC(C)OC(=O)c1sc2nc(-c3ccccc3)ccc2c1N,-0.0,1.0,0.0,1.0,0.0
138,CC(C)Oc1ccc(CNC(=S)N/N=C/c2ccc([N+](=O)[O-])cc2)cc1,1.0,0.0,1.0,0.0,1.0
139,CC(C)Oc1cccc(C(=O)NC(=S)Nc2ccccc2)c1,1.0,0.0,0.0,0.0,0.0
140,CC(C)[C@H](NC(=O)Cc1ccccc1)C(=O)OCc1cc(=O)n2c(n1)sc1ccccc12,-0.0,1.0,0.0,1.0,0.0
141,CC(C)c1ccc(NC(=O)CNC(=O)Cn2cnc3ccccc3c2=O)cc1,-0.0,1.0,0.0,1.0,0.0
142,CC(C)c1ccc(NC(=O)N(CCc2nc3ccccc3[nH]2)C2CCCC2)cc1,1.0,0.0,0.0,0.0,0.0
143,CC(C)c1ccc(NC(=O)Nc2cc3sccc3n2C)cc1,1.0,0.0,0.0,0.0,0.0
144,CC(C)c1ccc(NC2(C#N)C(=O)Nc3ccccc32)cc1,1.0,0.0,0.0,1.0,0.0
145,CC(C)c1ccc2oc(=O)cc(CN3CCCCC3)c2c1,1.0,0.0,0.0,1.0,0.0
146,CC(C)c1ccccc1-n1c(-c2cccnc2)n[nH]c1=S,1.0,0.0,0.0,0.0,0.0
147,CC(C)c1nc(SCc2c(F)cccc2Cl)c2c(=O)n(C)c(=O)n(C)c2n1,1.0,0.0,0.0,1.0,0.0
148,CC(C)c1nc2ccccc2c2nnc(SCC(=O)NCc3ccco3)n12,1.0,0.0,0.0,1.0,0.0
149,CC(C)c1nnc(NC(=O)C2CCN(C(=O)c3ccco3)CC2)s1,1.0,0.0,0.0,1.0,0.0
150,CC(C)c1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(F)cc3)ncc2Cl)s1,-0.0,1.0,0.0,0.0,0.0
151,CC(C)c1onc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c1[N+](=O)[O-],-0.0,1.0,0.0,1.0,0.0
152,CC(C)n1cc(/C=N/Nc2ccc(C(=O)O)cc2)c2ccccc21,-0.0,1.0,1.0,0.0,1.0
153,CC(C)n1cc(CN2CCCC(CNS(=O)(=O)c3cccc4cccnc34)C2)cn1,1.0,0.0,0.0,1.0,0.0
154,CC(CCc1ccccc1)NC(=O)c1cccc([N+](=O)[O-])c1,1.0,0.0,0.0,1.0,0.0
155,CC(CN1CCOCC1)OC(=O)C(c1ccccc1)c1ccccc1,1.0,0.0,0.0,1.0,0.0
156,CC(Cc1ccccc1)C(=O)Nc1ccccc1,1.0,0.0,0.0,1.0,0.0
157,CC(N1CCOC1=O)S(=O)(=O)c1ccccc1,1.0,0.0,0.0,1.0,0.0
158,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,-0.0,1.0,1.0,0.0,1.0
159,CC(NC(=O)c1ccc2c(c1)OCO2)c1ccccc1,1.0,0.0,0.0,1.0,0.0
160,CC(NO)/C(=N\O)c1cccs1,1.0,0.0,1.0,0.0,1.0
161,CC(Nc1ncnc2sccc12)c1ccccc1,1.0,0.0,0.0,1.0,0.0
162,CC(O)CNCCCOc1ccc(Cl)cc1C(C)(C)C,-0.0,1.0,0.0,1.0,0.0
163,CC(O)c1nc2ccccc2n1Cc1nnc(-c2ccc(Cl)cc2)o1,1.0,0.0,0.0,1.0,0.0
164,CC(O/N=C\c1ccccc1O)C(=O)Nc1ccccc1C(=O)N1CCOCC1,1.0,0.0,0.0,0.0,0.0
165,CC(OC(=O)CN1C(=O)NC2(CCCC2)C1=O)C(=O)c1ccccc1,1.0,0.0,0.0,1.0,0.0
166,CC(OC(=O)CN1C(=O)c2ccccc2C1=O)C(=O)NC1CCCCC1C,1.0,0.0,0.0,1.0,0.0
167,CC(OC(=O)c1nsc(Cl)c1Cl)C(=O)NCc1ccc2c(c1)OCO2,1.0,0.0,0.0,1.0,0.0
168,CC(Sc1nc2ccccc2s1)C(=O)Nc1nnc(C(C)C)s1,1.0,0.0,0.0,1.0,0.0
169,CC(Sc1nnnn1C)C(=O)Nc1ccc(Oc2ccccc2)cc1,1.0,0.0,0.0,1.0,0.0
170,CC/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1ccco1,1.0,0.0,1.0,0.0,1.0
171,CC1(C(=O)NCCCNc2ncc(C(F)(F)F)cc2Cl)C=CC2(CCCCC2)N1C(=O)c1ccccc1,1.0,0.0,1.0,0.0,1.0
172,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,1.0,0.0,0.0,1.0,0.0
173,CC1(C)CC(=O)C(N=Nc2ccc(OC(F)F)cc2)=C(O)C1,1.0,0.0,0.0,1.0,0.0
174,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccccc1,1.0,0.0,0.0,0.0,0.0
175,CC1(C)CC(=O)C=C(Nc2ccc(Br)cc2F)C1,1.0,0.0,0.0,1.0,0.0
176,CC1(C)CC(NC(=O)COc2ccccc2Cl)CC(C)(C)N1,-0.0,1.0,0.0,1.0,0.0
177,CC1(C)CC2CC(C)(CN2C(=O)CCCN2C(=O)c3ccccc3C2=O)C1,1.0,0.0,0.0,1.0,0.0
178,CC1(C)C[C@H]2C=C(C=O)[C@]3(C=O)C[C@]3(C)[C@H]2C1,-0.0,1.0,1.0,0.0,1.0
179,CC1(C)Cc2c(C#N)c(NCCO)nc(-c3ccco3)c2CO1,1.0,0.0,0.0,1.0,0.0
180,CC1(C)Cc2c(C#N)c(SCCC#N)nc(N3CCOCC3)c2CO1,1.0,0.0,0.0,1.0,0.0
181,CC1(C)Cc2c(sc(NC(=O)c3ccc4ncsc4c3)c2C(N)=O)C(C)(C)N1,1.0,0.0,0.0,1.0,0.0
182,CC1(C)Cc2c(sc3nc(C4CC4)n(N)c(=O)c23)CO1,1.0,0.0,0.0,1.0,0.0
183,CC1(C)Cc2nc3[nH]c(=S)n(-c4ccccc4)c(=O)c3cc2CO1,1.0,0.0,0.0,0.0,0.0
184,CC1(C)Oc2ccccc2C(=O)C1(Cl)SNc1ccc(F)cc1,1.0,0.0,1.0,0.0,1.0
185,CC1(OC(=O)CCc2ccccc2)C(=O)C=C2C=C(c3ccc(C#N)cc3)N(CCc3ccccn3)C=C2C1=O,1.0,0.0,1.0,0.0,1.0
186,CC12CC(c3ccccc3O1)C(C(=O)NCc1ccccc1)C(=O)N2,1.0,0.0,0.0,1.0,0.0
187,CC12CCC3C(CC=C4CC5(CCC43C)OCCO5)C1CCC2=O,1.0,0.0,0.0,1.0,0.0
188,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(C)o2)C2=C(CC(C)(C)CC2=O)N1,1.0,0.0,0.0,0.0,0.0
189,CC1=C(C(=O)Nc2ccccc2C)C(c2cccs2)NC(=S)N1,1.0,0.0,0.0,1.0,0.0
190,CC1=C(C(=O)OCc2ccc3c(c2)OCO3)C(c2ccc(F)cc2)NC(=O)N1,-0.0,1.0,0.0,0.0,0.0
191,CC1=CCC2C(=O)N(c3ccc(C)c(Br)c3)C(=O)C2C1,1.0,0.0,0.0,1.0,0.0
192,CC1=NN(C(N)=S)C(C)(C)C1,1.0,0.0,1.0,0.0,1.0
193,CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(S(N)(=O)=O)cc1,1.0,0.0,1.0,0.0,1.0
194,CC1=Nc2ccc(C)c3nc(C)cc(c23)N1c1ccc(C)cc1,1.0,0.0,0.0,0.0,0.0
195,CC1C(=O)C(C)C(c2ccco2)NC1c1ccco1,1.0,0.0,0.0,1.0,0.0
196,CC1C=Cc2ccccc2N1C(=O)c1ccccc1,1.0,0.0,0.0,1.0,0.0
197,CC1CC(C)CN(C(=O)c2ccc(CSc3nc4ccncc4[nH]3)cc2)C1,1.0,0.0,0.0,1.0,0.0
198,CC1CCCCN1CC(=O)Nc1ccccc1Sc1ccccc1,1.0,0.0,0.0,1.0,0.0
199,CC1CCCN(C(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CC(C)N4C(=O)C3CC3)CC2)C1,1.0,0.0,0.0,1.0,0.0
200,CC1CCCN(C(=O)CSc2nnc(-c3ccc(O)cc3)o2)C1,1.0,0.0,0.0,1.0,0.0
201,CC1CCN(C2=NC(=O)/C(=C/c3ccccc3F)S2)CC1,1.0,0.0,1.0,0.0,1.0
202,CC1CCN(CC(=O)Nc2ccc(S(=O)(=O)NC3CC3)cc2)CC1,1.0,0.0,0.0,1.0,0.0
203,CC1CCN(CC(=O)c2cccs2)CC1,1.0,0.0,0.0,1.0,0.0
204,CC1CCN(c2ccc(-c3cccc(NC(=O)C(F)(F)F)c3)nn2)CC1,-0.0,1.0,0.0,1.0,0.0
205,CC1CCN(c2ccc(-c3cccs3)nn2)CC1,-0.0,1.0,0.0,1.0,0.0
206,CC1CCN(c2nc3ccc(C(=O)O)cc3s2)CC1,-0.0,1.0,0.0,1.0,0.0
207,CC1CCc2nc(NC(=O)C3COc4ccccc4O3)sc2C1,1.0,0.0,0.0,1.0,0.0
208,CC1CN(C(=O)Nc2ccc3c(c2)OCCO3)CC(C)O1,1.0,0.0,0.0,1.0,0.0
209,CC1CN(C(=O)c2cc(S(=O)(=O)N(C)c3ccc(F)cc3)ccc2Cl)CC(C)O1,1.0,0.0,0.0,1.0,0.0
210,CC1COc2ccccc2N1C(=O)c1ccc(F)cc1,1.0,0.0,0.0,1.0,0.0
211,CC1Cc2cc(/C(O)=C3/C(=O)C(=O)N(CC4CCCO4)C3c3ccco3)ccc2O1,-0.0,1.0,0.0,0.0,0.0
212,CC1Cc2ccccc2N1C(=O)C12CCC(C)(C(=O)C1)C2(C)C,1.0,0.0,0.0,1.0,0.0
213,CC1Cc2ccccc2N1C(=O)COC(=O)c1ccc(S(=O)(=O)N(C)C)cc1,1.0,0.0,0.0,1.0,0.0
214,CC1Cc2ccccc2N1C(=O)CSc1ncccc1C(=O)O,1.0,0.0,0.0,1.0,0.0
